"164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","53, 28, 117","53, 28, 117","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","56, 118, 29","56, 118, 29","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 0, 0","255, 0, 0","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244"
"164, 194, 244","164, 194, 244","164, 194, 244","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","164, 194, 244","164, 194, 244","164, 194, 244"
"164, 194, 244","164, 194, 244","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","164, 194, 244","164, 194, 244"
"164, 194, 244","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","164, 194, 244","164, 194, 244","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","164, 194, 244","164, 194, 244","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","164, 194, 244"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0"
"164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","53, 28, 117","53, 28, 117","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","56, 118, 29","56, 118, 29","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 0, 0","255, 0, 0","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244"
"164, 194, 244","164, 194, 244","164, 194, 244","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","164, 194, 244","164, 194, 244","164, 194, 244"
"164, 194, 244","164, 194, 244","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","164, 194, 244","164, 194, 244","164, 194, 244","164, 194, 244","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","164, 194, 244","164, 194, 244"
"164, 194, 244","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","164, 194, 244","164, 194, 244","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","164, 194, 244","164, 194, 244","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","164, 194, 244"
"53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","53, 28, 117","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","56, 118, 29","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0","255, 0, 0"
